Problem size,Base_HIP-blkatm_direct_256,Base_HIP-blkatm_occgs_256,Base_Seq-cascade,Base_Seq-default,Base_Seq-kahan,RAJA_HIP-blkatm_direct_256,RAJA_HIP-blkatm_occgs_256,RAJA_HIP-blkdev_direct_256,RAJA_HIP-blkdev_direct_new_256,RAJA_HIP-blkdev_occgs_256,RAJA_HIP-blkdev_occgs_new_256
6250,11.4713,11.4928,9.44387,17.946,4.58631,15.3696,15.3823,12.4069,7.97406,12.4162,7.92119
25000,16.418799999999997,17.12205,9.435459999999999,17.9368,4.5867249999999995,35.9846,36.426649999999995,30.11055,12.567779999999999,30.060850000000002,12.542494999999999
100000,21.3663,22.7513,9.44387,17.946,4.58714,56.5996,57.471,47.8142,17.1615,47.7055,17.1638
200000,24.6339,32.4121,9.45746,17.9685,4.58829,104.426,105.866,91.4688,21.1074,90.696,21.0717
400000,24.6339,37.0496,9.44387,17.946,4.58714,177.934,178.178,168.394,23.3677,169.295,23.2215
800000,24.6339,70.54,9.43083,17.9276,4.58714,237.566,347.681,240.857,24.1335,329.308,45.8789
1600000,21.8346,145.402,9.43083,17.782,4.58467,311.57,661.095,295.141,24.2975,598.921,90.5478
3200000,21.6182,306.391,9.36547,17.2797,4.57414,368.882,1091.42,331.915,24.2975,991.432,172.877
6400000,21.541,573.49,9.35962,17.1248,4.57251,411.026,1722.86,363.719,24.2975,1564.8,322.008
9375000,21.406,817.096,9.35962,17.1248,4.57251,415.911,2017.87,370.326,23.7009,1915.68,454.172
12800000,19.4087,922.82,9.36435,17.1248,4.57251,419.544,2153.0,370.5,23.2064,2007.29,545.025
18750000,19.350450000000002,1000.47,9.357405,17.1072,4.571625,421.1865,2171.69,371.0745,23.15315,2020.435,609.749
25000000,19.2922,1078.12,9.36435,17.2053,4.57311,419.544,2190.38,370.5,23.2064,2033.58,674.473
