Problem size,Base_HIP-block_64 (raw),Base_HIP-block_64 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_64 (raw),RAJA_HIP-block_64 (smoothed),Base_HIP-block_64 (raw B/W),Base_HIP-block_64 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_64 (raw B/W),RAJA_HIP-block_64 (smoothed B/W)
1377,51.8675,203.569,13.9092,13.9092,50.692,196.974,28.7189,112.498,7.70152,7.70152,28.068,108.853
5508,203.569,493.27549999999997,13.9848,13.354,196.974,474.1055,112.498,272.4925,7.72835,7.385235,108.853,261.9025
21951,782.982,782.982,12.139,12.8021,751.237,751.237,432.487,432.487,6.7051,7.07049,414.952,414.952
43902,1155.74,1155.74,12.7988,12.7988,1163.05,1163.05,638.329,638.329,7.06895,7.06895,642.371,642.371
87804,1561.48,1561.48,12.8021,12.7893,1522.53,1522.53,862.391,862.391,7.07049,7.0633,840.882,840.882
175608,1865.48,1865.48,12.7893,12.7893,1834.54,1834.54,1030.27,1030.27,7.0633,7.0633,1013.18,1013.18
351216,2157.11,2157.11,9.81092,9.81092,2159.83,2159.83,1191.32,1191.32,5.41833,5.41833,1192.82,1192.82
702459,2452.42,2366.62,4.77572,4.77572,2444.8,2364.06,1354.4,1307.01,2.6375,2.6375,1350.19,1305.6
1404891,2378.7,2366.62,3.93096,3.93096,2364.06,2364.06,1313.69,1307.01,2.17096,2.17096,1305.6,1305.6
2057940,2366.62,2366.62,3.82584,3.82584,2365.59,2364.06,1307.01,1307.01,2.1129,2.1129,1306.44,1305.6
2809755,2290.76,2290.76,3.7803,3.7803,2264.07,2275.59,1265.12,1265.12,2.08775,2.08775,1250.38,1256.74
4115853,2269.31,2280.035,3.70921,3.7597199999999997,2275.59,2269.83,1253.27,1259.195,2.04849,2.076385,1256.74,1253.56
5487804,2216.51,2269.31,3.73914,3.73914,2205.61,2264.07,1224.11,1253.27,2.06502,2.06502,1218.09,1250.38
