Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-block_256 (raw),RAJA_HIP-block_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-block_256 (raw B/W),RAJA_HIP-block_256 (smoothed B/W)
1849,30.8957,154.834,8.22078,8.26791,36.9252,152.791,26.3791,130.131,7.01899,6.94882,31.5271,128.414
7744,154.834,356.2545,8.26791,8.278425,152.791,389.8755,130.131,297.6135,6.94882,6.93398,128.414,325.6465
32400,557.675,557.675,8.29641,8.28894,626.96,626.96,465.096,465.096,6.91914,6.91914,522.879,522.879
65025,1046.35,1046.35,8.28894,8.28894,1061.5,1061.5,870.75,870.75,6.89789,6.90635,883.357,883.357
131044,1728.47,1728.47,8.31193,8.28894,1746.56,1746.56,1436.18,1436.18,6.90635,6.89789,1451.21,1451.21
264196,2080.76,2003.36,8.25887,8.28088,1979.87,1979.87,1727.01,1661.51,6.8548,6.86785,1643.27,1643.27
528529,2003.36,2080.76,8.28088,8.25887,2020.53,2020.53,1661.51,1727.01,6.86785,6.8548,1675.75,1675.75
1060900,2177.17,2177.17,8.20031,8.20031,2165.8,2165.8,1804.69,1804.69,6.79735,6.79735,1795.26,1795.26
2125764,2833.35,2491.61,8.12587,8.12587,2865.42,2475.08,2347.72,2064.0,6.73309,6.73309,2374.29,2050.3
3115225,2599.48,2491.61,8.1121,8.1121,2573.67,2475.08,2153.59,2064.0,6.72062,6.72062,2132.2,2050.3
4255969,2491.61,2491.61,7.5265,7.85359,2475.08,2475.08,2064.0,2064.0,6.23478,6.50454,2050.3,2050.3
6235009,2164.16,2344.92,7.47318,7.690045,2193.34,2347.13,1792.54,1942.315,6.18992,6.36966,1816.71,1944.14
8317456,2198.23,2198.23,7.85359,7.5265,2219.18,2219.18,1820.63,1820.63,6.50454,6.23478,1837.98,1837.98
