Problem size,Base_HIP-block_256 (raw),Base_HIP-block_256 (smoothed),Base_Seq-default (raw),Base_Seq-default (smoothed),RAJA_HIP-kernel_256 (raw),RAJA_HIP-kernel_256 (smoothed),RAJA_HIP-launch_256 (raw),RAJA_HIP-launch_256 (smoothed),Base_HIP-block_256 (raw B/W),Base_HIP-block_256 (smoothed B/W),Base_Seq-default (raw B/W),Base_Seq-default (smoothed B/W),RAJA_HIP-kernel_256 (raw B/W),RAJA_HIP-kernel_256 (smoothed B/W),RAJA_HIP-launch_256 (raw B/W),RAJA_HIP-launch_256 (smoothed B/W)
2496,33.6568,127.705,6.38293,6.25147,32.5743,123.045,33.2337,124.885,47.1104,177.9,8.93438,8.70866,45.5952,171.408,46.5183,173.971
9792,127.705,217.5365,6.25147,6.171535,123.045,208.738,124.885,224.47299999999998,177.9,302.734,8.70866,8.592105,171.408,290.53249999999997,173.971,312.427
38784,320.146,307.368,6.0916,6.0916,294.431,294.431,324.061,324.061,445.435,427.568,8.47555,8.47555,409.657,409.657,450.883,450.883
77568,307.368,320.146,6.04761,6.04761,333.83,333.83,372.297,372.297,427.568,445.435,8.41261,8.41261,464.379,464.379,517.889,517.889
154944,480.199,480.199,6.02887,6.02887,417.029,417.029,477.611,477.611,667.919,667.919,8.38568,8.38568,580.054,580.054,664.319,664.319
309696,564.698,564.698,6.0219,6.0219,490.998,490.998,565.114,565.114,785.409,785.409,8.37555,8.37555,682.903,682.903,785.988,785.988
619392,638.563,638.563,5.92931,5.98058,534.613,534.613,631.91,631.91,888.12,888.12,8.24656,8.31775,743.546,743.546,878.867,878.867
1238784,656.516,656.516,5.98058,5.98058,538.841,538.841,643.288,643.288,913.079,913.079,8.31775,8.31775,749.416,749.416,894.681,894.681
2477568,672.033,672.033,5.9714,5.9714,551.617,551.617,657.633,657.633,934.653,934.653,8.30493,8.30493,767.18,767.18,914.626,914.626
3629184,687.039,682.933,5.98197,5.9714,562.389,558.576,664.526,664.526,955.521,949.809,8.31962,8.30493,782.16,776.856,924.21,924.21
4954944,682.933,687.039,5.91045,5.91045,567.514,558.576,675.018,675.018,949.809,955.521,8.22013,8.22013,789.287,776.856,938.802,938.802
7258176,688.689,687.864,5.90196,5.906205,558.576,560.4825000000001,681.414,678.216,957.814,956.6675,8.20832,8.214224999999999,776.856,779.508,947.696,943.249
9677568,688.794,688.689,5.90146,5.90196,557.427,558.576,684.472,681.414,957.959,957.814,8.20761,8.20832,775.257,776.856,951.949,947.696
