Problem size,Base_HIP-direct_1024 (raw),Base_HIP-direct_1024 (smoothed),Base_Seq-direct (raw),Base_Seq-direct (smoothed),RAJA_HIP-direct_1024 (raw),RAJA_HIP-direct_1024 (smoothed),RAJA_HIP-funcptr_1024 (raw),RAJA_HIP-funcptr_1024 (smoothed),RAJA_HIP-virtfunc_1024 (raw),RAJA_HIP-virtfunc_1024 (smoothed),Base_HIP-direct_1024 (raw B/W),Base_HIP-direct_1024 (smoothed B/W),Base_Seq-direct (raw B/W),Base_Seq-direct (smoothed B/W),RAJA_HIP-direct_1024 (raw B/W),RAJA_HIP-direct_1024 (smoothed B/W),RAJA_HIP-funcptr_1024 (raw B/W),RAJA_HIP-funcptr_1024 (smoothed B/W),RAJA_HIP-virtfunc_1024 (raw B/W),RAJA_HIP-virtfunc_1024 (smoothed B/W)
91125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.049,81.0342,30.503,28.801,43.7518,70.0771,46.6773,73.2531,45.935,71.0136
205379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0342,106.1101,28.2635,28.532249999999998,70.0771,90.58005,73.2531,96.31555,71.0136,93.29929999999999
421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.186,131.186,28.801,28.2635,111.083,111.083,119.378,119.378,115.585,115.585
884736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.121,195.121,27.1852,27.1852,160.986,160.986,174.266,174.266,165.913,165.913
1860867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.984,305.984,26.9538,26.9538,251.596,251.596,270.63,270.63,263.685,263.685
3796416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.394,451.394,22.6057,22.6057,364.717,364.717,407.436,407.436,388.323,388.323
5639752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.885,546.885,14.3594,14.3594,473.418,473.418,499.463,499.463,476.998,476.998
7762392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.471,557.471,8.92213,8.92213,495.627,495.627,528.494,528.494,513.647,513.647
11543176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.735,719.735,8.25019,8.25019,670.95,670.95,670.952,670.952,646.866,646.866
15438249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,798.716,798.716,7.70923,7.70923,748.537,748.537,736.716,736.716,712.972,712.972
19465109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.82,830.268,7.3292,7.519215,787.955,768.2460000000001,797.128,766.922,779.828,746.4
23393656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.478,861.82,3.9391,7.3292,807.196,787.955,801.537,797.128,783.349,779.828
