PPC,nodes,ranks,GPUs/node,FOM,Max Nodal Computing Resource Memory (GB),Memory Percentage,FILE
45,1,112,0,0.48941,88.84368896,0.34704566,./run-cts2--20260616_142511_6800145/try-00/log.sparta
65,1,112,0,0.494564,123.612442,0.482861102,./run-cts2--20260616_142511_6800146/try-00/log.sparta
85,1,112,0,0.486513,142.1768188,0.555378199,./run-cts2--20260616_142511_6800147/try-00/log.sparta
105,1,112,0,0.494103,176.195755,0.688264668,./run-cts2--20260616_142511_6800148/try-00/log.sparta
125,1,112,0,0.49232,199.4437103,0.779076993,./run-cts2--20260616_142511_6800150/try-00/log.sparta
45,1,4,4,5.167,74.98550797,0.234329712,./run-cts2gpu--20260616_160623_1751876/try-00/log.sparta
65,1,4,4,5.233,98.83832169,0.308869755,./run-cts2gpu--20260616_160635_1751877/try-00/log.sparta
85,1,4,4,5.238,130.4257618,0.407580506,./run-cts2gpu--20260616_161040_1751878/try-00/log.sparta
105,1,4,4,5.193,156.6036282,0.489386338,./run-cts2gpu--20260616_161638_1751879/try-00/log.sparta
125,1,4,4,5.178,188.4587677,0.588933649,./run-cts2gpu--20260616_161912_1751880/try-00/log.sparta
145,1,4,4,5.085,226.7165936,0.708489355,./run-cts2gpu--20260616_162013_1751881/try-00/log.sparta
165,1,4,4,5.014,248.8792992,0.77774781,./run-cts2gpu--20260616_162430_1751882/try-00/log.sparta
185,1,4,4,5.017,273.9025452,0.855945454,./run-cts2gpu--20260622_190032_1761073/try-00/log.sparta
205,1,4,4,4.958,300.9220745,0.940381483,./run-cts2gpu--20260622_190033_1761074/try-00/log.sparta
45,1,4,4,2.089,75.56315804,0.147584293,./run-elcapitan--20260616_142449_f2WYQvgDnscb/try-00/log.sparta
65,1,4,4,2.17,99.68555679,0.194698353,./run-elcapitan--20260616_142449_f2WYQw7YzbtK/try-00/log.sparta
85,1,4,4,2.223,130.7896809,0.255448595,./run-elcapitan--20260616_142451_f2WYQwapsPaF/try-00/log.sparta
105,1,4,4,2.258,156.9143589,0.306473357,./run-elcapitan--20260616_143308_f2WYQx3ttH1R/try-00/log.sparta
125,1,4,4,2.285,188.8240654,0.368797003,./run-elcapitan--20260616_143725_f2WYQxWtTCbZ/try-00/log.sparta
145,1,4,4,2.287,227.1903782,0.443731207,./run-elcapitan--20260616_143737_f2WYQxyq49d1/try-00/log.sparta
165,1,4,4,2.314,249.6225525,0.487544048,./run-elcapitan--20260616_143744_f2WYQySih85m/try-00/log.sparta
185,1,4,4,2.335,274.2163345,0.535578778,./run-elcapitan--20260616_144606_f2WYQyuL2ESj/try-00/log.sparta
205,1,4,4,2.344,301.4516209,0.588772697,./run-elcapitan--20260616_144913_f2WYQzMqRPgK/try-00/log.sparta
225,1,4,4,2.366,329.7843143,0.644109989,./run-elcapitan--20260622_200005_f2XkXbApmnpP/try-00/log.sparta
245,1,4,4,2.364,362.2683655,0.707555401,./run-elcapitan--20260622_201421_f2XkXbdpLiQX/try-00/log.sparta
265,1,4,4,2.369,398.6445087,0.778602556,./run-elcapitan--20260622_202151_f2XkXc6W7ncX/try-00/log.sparta
285,1,4,4,2.377,437.3398029,0.854179303,./run-elcapitan--20260622_202151_f2XkXcZBtrpX/try-00/log.sparta
